ID_REF,GSM6826,GSM6829,GSM6830,GSM6831
D00017_at,8339.0,4938.0,28770.0,19091.0
D00097_s_at,20.0,20.0,20.0,20.0
D00408_at,20.0,764.0,360.0,198.0
D00408_s_at,851.0,1836.0,440.0,151.0
D00591_at,114.0,162.0,20.0,1423.0
D00596_at,115.0,16.0,961.0,379.0
D00632_at,3335.0,4814.0,4656.0,3687.0
D00654_at,35.0,20.0,20.0,20.0
D00723_at,4119.0,4321.0,3197.0,2038.0
D00726_at,1983.0,3872.0,2247.0,1374.0
D00749_s_at,1983.0,8317.0,6858.0,7148.0
D00760_at,449.0,20.0,142.0,604.0
D00761_at,2807.0,763.0,1199.0,4165.0
D00762_at,1267.0,1454.0,1381.0,1644.0
D00763_at,4144.0,3762.0,2543.0,3390.0
D00860_at,858.0,20.0,737.0,1195.0
D10040_at,1282.0,1604.0,1586.0,1255.0
D10202_at,116.0,541.0,20.0,269.0
D10326_s_at,20.0,20.0,20.0,20.0
D10495_at,20.0,20.0,728.0,20.0
D10511_at,1707.0,198.0,1165.0,1905.0
D10522_at,4738.0,2853.0,3413.0,2698.0
D10523_at,4922.0,5328.0,6660.0,3204.0
D10537_s_at,1827.0,2646.0,16367.0,7110.0
D10656_at,833.0,695.0,20.0,20.0
D10667_s_at,20.0,20.0,20.0,20.0
D10704_at,689.0,597.0,20.0,20.0
D10922_s_at,121.0,20.0,67.0,20.0
D10923_at,20.0,20.0,368.0,20.0
D10925_at,20.0,20.0,20.0,20.0
D10995_at,1081.0,1258.0,2412.0,1917.0
D11086_at,3090.0,20.0,20.0,952.0
D11094_at,1462.0,20.0,20.0,1772.0
D11139_at,254.0,1034.0,20.0,702.0
D11151_at,184.0,1331.0,236.0,431.0
D11327_s_at,382.0,20.0,20.0,113.0
D11428_at,17924.0,8870.0,25324.0,13532.0
D12485_at,1120.0,213.0,1087.0,515.0
D12620_s_at,20.0,20.0,20.0,20.0
D12625_at,20.0,20.0,20.0,20.0
D12676_at,715.0,1666.0,851.0,580.0
D12686_at,20.0,20.0,1332.0,1426.0
D12763_at,20.0,20.0,20.0,20.0
D12775_s_at,1650.0,470.0,2928.0,1822.0
D13118_at,16434.0,32131.0,22701.0,18575.0
D13146_cds1_at,72767.0,78291.0,49436.0,41702.0
D13168_at,239.0,572.0,20.0,226.0
D13264_at,178.0,141.0,20.0,38.0
D13305_at,20.0,20.0,20.0,20.0
D13315_at,2831.0,986.0,2997.0,4124.0
D13370_at,2054.0,150.0,3393.0,3280.0
D13413_rna1_s_at,61422.0,78130.0,35013.0,27468.0
D13435_at,1418.0,893.0,860.0,1486.0
D13540_at,101.0,20.0,747.0,20.0
D13626_at,172.0,20.0,49.0,20.0
D13627_at,1002.0,20.0,808.0,518.0
D13628_at,1130.0,1551.0,1404.0,340.0
D13630_at,2610.0,1693.0,2556.0,1441.0
D13631_s_at,867.0,620.0,1790.0,953.0
D13633_at,20.0,839.0,779.0,546.0
D13634_at,633.0,794.0,1102.0,435.0
D13635_at,368.0,20.0,479.0,634.0
D13636_at,1699.0,3180.0,728.0,1723.0
D13637_at,20.0,20.0,507.0,20.0
D13638_s_at,18.0,20.0,109.0,1.0
D13639_at,2663.0,1828.0,2774.0,4104.0
D13640_at,8286.0,13225.0,1315.0,2623.0
D13641_at,5678.0,4905.0,7609.0,7347.0
D13642_at,1206.0,1995.0,765.0,20.0
D13643_at,38053.0,29195.0,13978.0,9354.0
D13644_at,266.0,274.0,20.0,20.0
D13645_at,20.0,20.0,20.0,20.0
D13666_s_at,318.0,863.0,97.0,20.0
D13705_s_at,4059.0,8820.0,3932.0,6154.0
D13720_s_at,533.0,911.0,20.0,20.0
D13748_at,6662.0,2139.0,8472.0,5330.0
D13789_at,20.0,20.0,20.0,20.0
D13814_s_at,20.0,436.0,20.0,616.0
D13897_rna2_at,2075.0,4260.0,20.0,213.0
D13900_at,17430.0,18385.0,15659.0,13668.0
D13969_at,20.0,20.0,20.0,220.0
D13988_at,1057.0,20.0,4224.0,3668.0
D14043_at,3962.0,3365.0,1593.0,2461.0
D14134_at,20.0,20.0,20.0,20.0
D14446_at,1370.0,1404.0,1019.0,1244.0
D14497_at,20.0,172.0,284.0,20.0
D14520_at,326.0,1496.0,431.0,20.0
D14530_at,61571.0,53234.0,50061.0,32295.0
D14533_at,622.0,450.0,20.0,20.0
D14657_at,162.0,114.0,1397.0,105.0
D14658_at,6356.0,4624.0,6522.0,5512.0
D14659_at,1597.0,495.0,2020.0,1472.0
D14660_at,170.0,237.0,606.0,405.0
D14661_at,828.0,315.0,1587.0,1268.0
D14662_at,10266.0,7820.0,4934.0,5251.0
D14663_at,1828.0,2869.0,1518.0,3245.0
D14664_at,524.0,664.0,809.0,6.0
D14678_at,136.0,20.0,20.0,20.0
D14686_at,232.0,2120.0,1110.0,20.0
D14689_at,1718.0,2939.0,2415.0,1117.0
D14694_at,6620.0,7073.0,6756.0,6081.0
D14695_at,1801.0,4707.0,2240.0,2098.0
D14710_at,5870.0,20.0,12879.0,25190.0
D14811_at,1646.0,1170.0,1440.0,20.0
D14812_at,18888.0,18462.0,10573.0,11810.0
D14822_at,497.0,1591.0,194.0,17.0
D14823_at,20.0,103.0,354.0,20.0
D14826_s_at,505.0,173.0,795.0,451.0
D14827_at,278.0,757.0,20.0,102.0
D14838_at,20.0,20.0,1400.0,1889.0
D14874_at,743.0,3046.0,1973.0,1042.0
D14878_at,1509.0,2780.0,1823.0,1553.0
D14889_at,2312.0,2327.0,4642.0,2111.0
D15049_at,1195.0,1379.0,20.0,905.0
D15050_at,2278.0,3778.0,5388.0,3083.0
D15057_at,4499.0,2845.0,4608.0,4316.0
D16105_at,2228.0,5831.0,4959.0,4144.0
D16154_at,20.0,20.0,278.0,20.0
D16181_at,12267.0,12020.0,4417.0,5569.0
D16217_at,3815.0,6265.0,6544.0,4248.0
D16227_at,20.0,20.0,20.0,310.0
D16294_at,1297.0,2680.0,1174.0,1174.0
D16350_at,20.0,20.0,2383.0,363.0
D16469_at,10192.0,7923.0,2242.0,6884.0
D16480_at,20.0,20.0,1439.0,1671.0
D16481_at,3508.0,1106.0,1796.0,3322.0
D16532_at,86.0,320.0,325.0,278.0
D16562_at,6179.0,3824.0,17233.0,17478.0
D16581_at,4642.0,5928.0,2303.0,3205.0
D16583_at,20.0,20.0,20.0,20.0
D16593_at,2698.0,2230.0,6072.0,3553.0
D16611_s_at,100.0,870.0,833.0,758.0
D16626_at,20.0,20.0,20.0,132.0
D16688_s_at,20.0,20.0,20.0,64.0
D16815_at,20.0,20.0,20.0,20.0
D16827_s_at,20.0,20.0,20.0,20.0
D17357_at,147.0,1299.0,20.0,328.0
D17390_at,20.0,20.0,20.0,20.0
D17391_at,20.0,38.0,20.0,20.0
D17400_at,255.0,20.0,1608.0,2467.0
D17408_s_at,20.0,20.0,995.0,20.0
D17427_at,892.0,251.0,546.0,20.0
D17461_at,20.0,1047.0,20.0,20.0
D17516_at,244.0,20.0,20.0,20.0
D17525_at,3727.0,9533.0,4852.0,3160.0
D17532_at,273.0,20.0,3.0,2523.0
D17547_at,71.0,770.0,841.0,20.0
D17570_s_at,20.0,20.0,3.0,20.0
D17716_at,1098.0,3802.0,20.0,1658.0
D17793_at,572.0,1200.0,721.0,20.0
D21063_at,1857.0,20.0,20.0,20.0
D21089_at,9010.0,6725.0,2709.0,6920.0
D21090_at,611.0,1149.0,940.0,1199.0
D21163_at,354.0,20.0,20.0,20.0
D21205_at,20.0,20.0,20.0,20.0
D21235_at,3754.0,2810.0,1445.0,2259.0
D21239_at,20.0,20.0,2147.0,422.0
D21241_xpt1_s_at,555.0,263.0,231.0,20.0
D21255_at,160.0,20.0,964.0,32.0
